name,artists,energy,ranking,danceability,valence,instrumentalness,loudness,duration_ms,tempo,country
SLOW DANCING IN THE DARK,Joji,0.47799067840497145,1.0,0.40348525469168905,0.26361517270608176,0.0064718614718614715,-0.15415500471260213,0.019259080374010095,-1.2072396305637123,US
I KNOW ?,Travis Scott,0.6229932677369239,0.4990892531876139,0.9530831099195711,0.828353464717101,0.0,0.8740965341441554,0.058954855344367,-0.12279707126453075,US
Sky,Playboi Carti,0.9171413775245987,0.33211900425015184,0.7627345844504023,0.561347743165925,0.0,0.9616870696052713,-0.2566162361444148,0.6985578626312384,US
ORANGE SODA,Baby Keem,0.5660279647850854,0.24863387978142093,0.8230563002680964,0.07607543971180335,0.0,-0.27821319501550557,-1.3462205411366377,-1.3539141573080742,US
Sorry Bout That,Yeat,0.6478508544795443,0.19854280510018207,0.6890080428954424,0.48400084763721124,0.0,-0.2744641837700881,-0.38072573015918754,0.7725676021830937,US
TOPIA TWINS (feat. Rob49 & 21 Savage),"Travis Scott, Rob49, 21 Savage",0.5691351631279129,0.1651487553126898,0.6689008042895442,0.3144734053824963,0.0,0.8604637659790012,0.2583280890776327,1.450162072779754,US
Praise The Lord (Da Shine) (feat. Skepta),"A$AP Rocky, Skepta",0.571206628689798,0.14129586260733795,0.8552278820375334,0.27421063784700145,0.08831168831168831,-0.39034271317389896,-0.053562371629668905,-1.5417218103758037,US
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Playboi Carti, Madonna",0.6799585706887623,0.12340619307832434,0.8552278820375334,0.8611994066539521,9.231601731601731e-05,0.26437097795763254,0.12577378331656655,-0.8316243244282532,CA
ZEZE (feat. Travis Scott & Offset),"Kodak Black, Offset, Travis Scott",0.6064215432418436,0.10949200566686912,0.8646112600536193,0.49671540580631485,0.0,0.41501306618258677,0.35440287199982234,-0.8681995566449445,US
Trance (with Travis Scott & Young Thug),"Metro Boomin, Travis Scott, Young Thug",0.5535991714137753,0.09836065573770503,0.7359249329758715,0.48400084763721124,0.0,-0.17664907218510656,-0.22990586416479428,-0.06746722559249843,US
Monëy so big,Yeat,0.577421025375453,0.08925318761384338,0.6394101876675603,0.3367238821784276,0.0,-0.21379836543515182,-0.827320397784962,0.625183239471298,US
5% TINT,Travis Scott,0.4800621439668565,0.08166363084395867,0.6648793565683646,0.028395846577664766,0.0,0.54213862932265,-0.2066697324555429,0.6993050583864316,US
Around Me (feat. Don Toliver),"Metro Boomin, Don Toliver",0.6747799067840498,0.07524169819251791,0.6420911528150134,0.029455393091756724,0.014826839826839827,1.212870823048238,-0.2860956808147752,-0.04841373383507989,US
Space Cadet (feat. Gunna),"Metro Boomin, Gunna",0.4624546866908337,0.06973718449128286,0.918230563002681,0.6386946386946387,1.9696969696969697e-05,-0.9486045695369645,-0.08405656964632523,-0.45869892301148846,US
IDGAF (feat. Yeat),"Drake, Yeat",0.6778871051268773,0.06496660595021253,0.6126005361930296,0.11104047467683832,0.0003073593073593074,-0.5355316941327916,0.8936152814866765,0.5835644359070545,CA
bigger thën everything,Yeat,0.6333505955463491,0.06079234972677594,0.6300268096514746,0.14176732358550542,0.00037770562770562775,0.2947038871251008,0.17387997161469837,1.0719689412888787,US
Drip or Drown,Gunna,0.47695494562402896,0.057109182470802544,0.9865951742627346,0.5645263827082009,0.0,-0.5161049994974466,-1.410098404325505,-0.12231139402365572,US
OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott, Young Thug",0.5939927498705334,0.05383525602104844,0.7855227882037534,0.290103835558381,0.0,0.7193646154696551,-0.867566547451615,0.6942241272511203,US
Rich Nigga Shit (feat. Young Thug),"21 Savage, Metro Boomin, Young Thug",0.7410668047643708,0.05090595340811044,0.8163538873994638,0.6196228014409833,0.0,0.47056659645559035,-0.3065455406240275,-0.87077738200036,US
500lbs,Lil Tecca,0.7887105126877266,0.04826958105646639,0.6809651474530831,0.5242636151727061,0.0,0.5431610869350366,-1.0966944132033891,0.06467434371336203,US
Bane,Destroy Lonely,0.7773174520973589,0.04588429178593123,0.4718498659517426,0.3462598008052553,0.0,0.36661673919628945,-1.157889199747813,-0.09029405591364098,US
HOTEL LOBBY (Unc & Phew),"Quavo, Takeoff",0.6426721905748317,0.04371584699453557,0.8136729222520107,0.12693367238821784,0.0,0.8959089632084023,-1.1265006428496753,0.2503898486665511,US
Dior,Pop Smoke,0.815639564992232,0.041735962619783074,0.44504021447721187,0.6503496503496504,0.0004383116883116883,0.4340989416138027,0.1415970558350797,0.7776111735306452,US
Hot (feat. Gunna),"Young Thug, Gunna",0.6561367167270844,0.039921068609593435,0.8565683646112601,0.5549904640813733,0.0,-0.35387505833211164,-0.2601764724610803,-0.34688107824687464,CA
Too Many Nights (feat. Don Toliver & with Future),"Metro Boomin, Future, Don Toliver",0.6737441740031073,0.03825136612021862,0.4785522788203753,0.11633820724729814,4.339826839826839e-05,0.9030661664951082,-0.14162232303704644,-1.2444126193845582,US
Kat Food,Lil Wayne,0.6540652511651994,0.03671010228387295,0.719839142091153,0.7902097902097903,0.0,0.5629286007745102,1.3488439521605962,2.0441079785825713,US
family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",0.6147074054893837,0.035283006139108064,0.6635388739946381,0.11527866073320618,0.0,0.5291874995657534,0.7586186880107963,0.47862079209021513,US
EA (feat. 21 Savage),"Young Nudy, 21 Savage",0.8891765924391507,0.03395784543325542,0.31501340482573736,0.2032210214028396,0.0,0.6137106621897097,0.3271593245331649,-1.2693315978202406,CA
Bad and Boujee (feat. Lil Uzi Vert),"Migos, Lil Uzi Vert",0.6716727084412222,0.03272407512090969,0.9517426273458447,0.14070777707141346,0.0,0.5765613689396645,2.3218204191658214,0.21657924074407342,US
Knife Talk (with 21 Savage ft. Project Pat),"Drake, 21 Savage, Project Pat",0.421025375453133,0.031572556162720256,0.8485254691689008,0.12481457936003391,0.0,-0.8770325366699051,0.5987348387367765,0.9192421289274549,CA
Titanium,Dave,0.38995339202485757,0.03049532875022032,0.9959785522788203,0.5030726848908668,1.4935064935064934e-06,-0.5730218065869654,-1.3828892552773662,-0.010232030744724214,US
Search & Rescue,Drake,0.4386328327291558,0.02948542805100196,0.8203753351206433,0.5274422547149821,9.393939393939394e-06,-0.5304194060708585,1.100040191016236,0.6996412964762679,CA
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Justin Bieber, Future",0.6457793889176593,0.028536733454766372,0.8605898123324396,0.43420216147488877,2.2943722943722943e-05,0.9187438498850357,0.5176749654979151,0.5868894570176639,US
Overdue (with Travis Scott),"Metro Boomin, Travis Scott",0.3972035214914552,0.02764384442301515,0.5603217158176944,0.48611994066539516,0.00014285714285714287,-1.4335902970123262,-0.723419974649812,1.0794035390530483,US
Breathe,Yeat,0.5473847747281202,0.02680197762164971,0.7292225201072386,0.08243271879635516,1.0,-2.074330400774575,-0.6416549338313212,-0.12070492314999079,US
NOSTYLIST,Destroy Lonely,0.7824961160020715,0.026006881198137988,0.47050938337801607,0.4882390336935792,0.0,0.627002611150735,-0.48423057148137466,1.4494895966000803,US
Glock In My Lap,"21 Savage, Metro Boomin",0.7410668047643708,0.0252547629596811,0.8458445040214477,0.17673235855054037,1.1255411255411256e-05,0.1931397642947018,-0.25047611843886136,0.32679061463502285,US
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",0.6789228379078198,0.02454222989166932,0.41957104557640756,0.3504979868616232,2.6082251082251078e-06,0.7820753490293643,0.17561709174988296,1.6677081169041592,CA
I Feel It Coming,"The Weeknd, Daft Punk",0.8301398239254272,0.023866236980990996,0.7466487935656838,0.5825386734477643,0.0,0.36116363193022777,1.0497153047236605,-1.057090643557704,CA
Not Like Us,Kendrick Lamar,0.4707405489383738,0.023224043715847076,0.9142091152815015,0.18944691671964398,0.0,0.0015993715742848426,1.135797347066224,-0.7554477171863394,US
Shut up My Moms Calling,Hotel Ugly,0.4054893837389953,0.022613176951441716,0.3605898123324397,0.3610934520025429,0.0,-1.2628398757437695,-0.7495971711423958,0.6402392339384352,US
